TITULO-ARTIGO;ANO-ARTIGO;GRANDE-AREA-1;AREA-1;SUB-AREA-1;GRANDE-AREA-2;AREA-2;SUB-AREA-2;GRANDE-AREA-3;AREA-3;SUB-AREA-3
PREVALÊNCIA DE SOBREPESO E OBESIDADE EM ESCOLARES DA REDE PRIVADA DA CIDADE DE MONTES CLAROS - MG;2005;CIENCIAS_DA_SAUDE;Educação Física;;;;;;;
Interrupção de Surto de Hepatite A no município de Ibiracatu-MG: Efeito das Ações de Promoção da Saúde;2011;;;;;;;;;
Satisfação no trabalho em ESFS de um município do Vale do Jequitinhonha;2013;;;;;;;;;
Importância da ESF para modificar o perfil epidemiológico da lta em Almenara - MG;2013;;;;;;;;;
Interrupção de Surto de Hepatite A no município de Ibiracatu-MG: Efeito das Ações de Promoção da Saúde;2011;;;;;;;;;
Importância da ESF para modificar o perfil epidemiológico da LTA em Almenara-MG;2013;;;;;;;;;
Satisfação no Trabalho em ESFs de um município do Vale do Jequitinhonha;2013;;;;;;;;;
Manejo da Fertirrigação e Controle da Salinidade Utilizando Extratores de Solução;2004;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo
Crescimento do Meloeiro em Diferentes Niveis de Salinidade do Solo e Manejos da Fertirrigação;2004;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Manejo de extratores de solução do solo em ambiente protegido;2004;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Percolação de águas residuárias e suas implicações;2005;CIENCIAS_AGRARIAS;Engenharia Agrícola;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;;;
Controle da salinidade e manejo da fertirrigação para a cultura do pimentão sob ambiente protegido utilizando medidores de íons da solução;2005;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Viabilidade econômica da irrigação de eucalipto no estado de são paulo;2005;CIENCIAS_AGRARIAS;Agronomia;Ciências Agrárias;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Construção de um pré-filtro e filtro lento e sua avaliação na eficiência da filtragem no controle da qualidade da água;2005;CIENCIAS_AGRARIAS;Engenharia Agrícola;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;;;
Percolação de águas residuárias no perfil do solo;2005;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Tempo ótimo de corte da irrigação por sulcos em bananais;2005;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Aspectos econômicos da irrigação em mangueiras;2005;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Deslocamento miscível do íon sódio proveniente da água residuária de dessalinizadores em colunas de solo;2005;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Macronutrientes dos frutos do pimentão fertirrigado e culltivado em ambiente protegido na ultima colheita;2007;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Macro e micronutrientes nas soluções extraidas do substrato de fibra de coco cultivado com pimentão fertirrigado;2007;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Macro e micronutrientes nas folhas de pimentão fertirrigado e cultivado sob substrato de fibra de coco;2007;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Influência das variáveis hidricas e climáticas no numero de frutos defeituosos do pimentão fertirrigado e cultivado sob substrato de fibra de coco;2007;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Engenharia Agrícola;ENGENHARIA RURAL
"Classificação do hibrídro de pimentão"" Margarita"" fertirrigado e cultivado em ambiente protegido segundo o Programa Horti & Fruti padrão";2007;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Perfis de pH obtidos durante o ciclo cultural do pimentão conduzido sob substrato de fibra de coco e cultivado em estufa;2007;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
"Calibração de cartelas ""Horiba"" para os íons nitrato e potássio pelos métodos da Brucina e do Fotômetro de Chama";2007;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo
Manejo da irrigação na cultura da banana com base nas características;2007;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Avaliação das propriedades físico-hídricas do solo de um lisímetro de pesagem após cinco anos de operação;2007;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Qualidade de frutos de pimentão fertirrigado em cultivo protegido;2008;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Monitoramento das alterações eletroquímicas em um latossolo vermelho amarelo submetido ao encharcamento;2008;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Avaliação de um sistema de irrigação com gotejadores de diferentes vazões;2008;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Lâminas de irrigação e doses de potássio em melancia (Citrullus lanatus Thumb. Mansf.) cultivar  Mini-melancia Personal ;2009;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;;;
Viabilidade Econômica do cultivo da videira na região de palmeiras de Goiás-GO.;2010;CIENCIAS_AGRARIAS;Agronomia;Ciências Agrárias;CIENCIAS_AGRARIAS;Agronomia;Extensão Rural;CIENCIAS_SOCIAIS_APLICADAS;Economia;
Determinação do conteúdo de água de solo pelo método da frigideira em um Latossolo Vermelho Escuro.;2011;CIENCIAS_AGRARIAS;Agronomia;;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL;CIENCIAS_AGRARIAS;Agronomia;ENGENHARIA RURAL
Photoacoustic Spectroscopy-Based Analysis of Gas Sample in a Bus Station.;2005;;;;;;;;;
Laser Photoacoustic Detection of Ammonia Emitted by Ceramic Industries in Campos dos Goytacazes City in Rio de Janeiro State.;2005;;;;;;;;;
Development and characterization of a CO2 laser photoacoustic spectrometer fot higt sensitive detection of atmospheric pollutants;2006;;;;;;;;;
Detecção de Gases Poluentes em Campos dos Goytacazes utilizando técnicas fototérmicas;2007;;;;;;;;;
DETECÇÂO DO ETILENO (VOCS) EM NÍVEL DE TRAÇOS UTILIZANDO UM ESPECTRÔMETRO FOTOACÚSTICO ACOPLADO A UM LASER DE CO2.;2007;;;;;;;;;
MONITORAMENTO E DETECÇÃO DE POLUENTES ATMOSFÉRICOS PROVINIENTES DAS EMISSÕES DE ÔNIBUS URBANOS: E SUAS CONTRIBUIÇÔES PARA AQUECIMENTO GLOBAL.;2007;;;;;;;;;
Montagem experimental da técnica de espectroscopia fotoacústica para a detecção de gases poluentes;2006;;;;;;;;;
Aplicação da Espectroscopia Fotoacústica na Detecção e Monitoramento de Gases.;2005;;;;;;;;;
Utilização da Espectroscopia Fotoacústica para a Detecção de Gases Poluentes Emitidos por Ônibus Urbanos;2007;;;;;;;;;
Utilização da Espectroscopia Fotoacústica para Medidas de Coeficiente de Absorção Óptica de Gases Poluentes;2007;;;;;;;;;
Detecção de gases poluentes emitidos por ônibus urbano da cidade de Campos dos Goytacazes utilizando técnicas fototérmicas.;2008;;;;;;;;;
Análise da emissão de Metano (CH4) na exaustão de veículos movidos a Gás Natural veicular (GNV) utilizando um analisador infravermelho.;2008;;;;;;;;;
Avaliação do efeito de Tithonia diversifolia em um modelo animal de dependência;2010;;;;;;;;;
Avaliação de clones de batata-doce (Ipomoea batatas) quanto à resistência a insetos de solo;2007;;;;;;;;;
Seleção de clones de batata-doce com potencial de utilização na alimentação animal;2010;CIENCIAS_AGRARIAS;Agronomia;Olericultura;CIENCIAS_DA_SAUDE;Nutrição;;;;
Resistência de linhagens de tomateiro à mosca-branca, relacionada a aleloquímicos e à densidade de tricomas;2011;CIENCIAS_AGRARIAS;Agronomia;melhoramento de plantas;CIENCIAS_AGRARIAS;Agronomia;Olericultura;;;
Resistência à traça em linhagens de tomateiros ricas em diferentes aleloquímicos;2010;CIENCIAS_AGRARIAS;Agronomia;melhoramento de plantas;CIENCIAS_AGRARIAS;Agronomia;Olericultura;;;
