GRANDE_AREA_DO_CONHECIMENTO_1;AREA_DO_CONHECIMENTO_1;SUB_AREA_DO_CONHECIMENTO_1;ESPECIALIDADE_DO_CONHECIMENTO_1;GRANDE_AREA_DO_CONHECIMENTO_2;AREA_DO_CONHECIMENTO_2;SUB_AREA_DO_CONHECIMENTO_2;ESPECIALIDADE_DO_CONHECIMENTO_2;GRANDE_AREA_DO_CONHECIMENTO_3;AREA_DO_CONHECIMENTO_3;SUB_AREA_DO_CONHECIMENTO_3;ESPECIALIDADE_DO_CONHECIMENTO_3
CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Físico-Química;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_DA_SAUDE;Enfermagem;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Ensino de Quimica;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química Analítica;Análise de Traços e Química Ambiental;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_HUMANAS;Geografia;;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;;;;;
CIENCIAS_HUMANAS;Geografia;;;;;;;;;;
CIENCIAS_HUMANAS;Geografia;GEOGRAFIA FÍSICA;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geologia;Geologia Ambiental;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;Geomorfologia
CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geografia Física;;CIENCIAS_EXATAS_E_DA_TERRA;Geociências;Geologia;Geologia Ambiental;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_HUMANAS;Geografia;GEOGRAFIA FÍSICA;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Física;;;CIENCIAS_HUMANAS;Geografia;;;;;;
CIENCIAS_HUMANAS;Geografia;Geografia;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Química;Química;;CIENCIAS_EXATAS_E_DA_TERRA;Geografia;geografia;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Tecnologia de Aplicação de Defensivos Agrícolas;;;;;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Máquinas e Implementos Agrícolas;Tecnologia de Aplicação de Defensivos Agrícolas;;;;;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Agricultura Familiar;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Agricultura Familiar;Importância da Agricultura Familiar;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Agricultura Familiar;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Agricultura Familiar;Importância da Agricultura Familiar
CIENCIAS_AGRARIAS;Engenharia Agrícola;Agricultura Familiar;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Agricultura Familiar;;CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Engenharia de Água e Solo;;;;;;;;;
CIENCIAS_AGRARIAS;Engenharia Agrícola;Agricultura Familiar;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_AGRARIAS;Agronomia;Ciência do Solo;Física do Solo;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Matemática;Matemática Aplicada;Física Matemática;;;;;;;;
CIENCIAS_EXATAS_E_DA_TERRA;Matemática;Matemática Aplicada;Física Matemática;;;;;;;;
;;;;;;;;;;;
LINGUISTICA_LETRAS_E_ARTES;Letras;;;;;;;;;;
;;;;;;;;;;;
LINGUISTICA_LETRAS_E_ARTES;Lingüística;;;;;;;;;;
LINGUISTICA_LETRAS_E_ARTES;Lingüística;;;;;;;;;;
LINGUISTICA_LETRAS_E_ARTES;Lingüística;;;;;;;;;;
LINGUISTICA_LETRAS_E_ARTES;Lingüística;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
LINGUISTICA_LETRAS_E_ARTES;Lingüística;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
CIENCIAS_HUMANAS;História;;;;;;;;;;
CIENCIAS_HUMANAS;História;;;;;;;;;;
CIENCIAS_HUMANAS;História;;;;;;;;;;
CIENCIAS_HUMANAS;História;;;;;;;;;;
CIENCIAS_HUMANAS;História;;;;;;;;;;
CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;;;;;;;;
CIENCIAS_HUMANAS;História;História do Brasil;;CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;CIENCIAS_HUMANAS;História;História do Brasil;História do Norte de Minas Gerais
CIENCIAS_HUMANAS;História;História do Brasil;;CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;CIENCIAS_HUMANAS;História;História do Brasil;História do Norte de Minas Gerais
CIENCIAS_HUMANAS;História;História do Brasil;;CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;CIENCIAS_HUMANAS;História;História dos movimentos sociais;
CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;CIENCIAS_HUMANAS;História;;;;;;
CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;CIENCIAS_HUMANAS;História;História do Brasil;História do Norte de Minas Gerais;CIENCIAS_HUMANAS;História;História Política;Culturas políticas
CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;CIENCIAS_HUMANAS;História;História do Brasil;História do Norte de Minas Gerais;CIENCIAS_HUMANAS;História;História Política;Culturas políticas
;;;;;;;;;;;
CIENCIAS_HUMANAS;História;;;CIENCIAS_HUMANAS;História;História do Brasil;História do Brasil República;CIENCIAS_HUMANAS;História;História da América;História da América Contemporânea
